POLICY_NUMBER,START_DATE,SEGMENT_1_FLAG,SEGMENT_2_FLAG,SEGMENT_3_FLAG,SEGMENT_4_FLAG,SEGMENT_5_FLAG,SEGMENT_6_FLAG
6495518346.0,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0
6495834955.0,2020-07-01,1.0,0.0,0.0,0.0,0.0,0.0
6495829305.0,2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0
6495811148.0,2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0
6495947008.0,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0
6495707022.0,2020-12-06,0.0,0.0,0.0,1.0,0.0,0.0
6495845457.0,2020-08-05,0.0,0.0,0.0,0.0,0.0,0.0
6495555552.0,2019-06-15,0.0,0.0,0.0,0.0,0.0,0.0
6495376777.0,2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0
6495798097.0,2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0
6495549529.0,2019-05-25,0.0,0.0,0.0,0.0,0.0,0.0
6495605933.0,2020-07-18,0.0,0.0,0.0,1.0,0.0,0.0
6495987593.0,2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0
6495565479.0,2019-06-26,0.0,0.0,1.0,0.0,0.0,0.0
6495807438.0,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
6495897615.0,2020-10-24,0.0,0.0,0.0,0.0,0.0,1.0
6495537284.0,2019-05-15,1.0,0.0,0.0,1.0,0.0,0.0
6495710164.0,2019-12-14,1.0,0.0,0.0,0.0,0.0,0.0
6495941062.0,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0
6495526371.0,2019-06-02,1.0,0.0,0.0,0.0,0.0,0.0
6495877389.0,2020-09-21,1.0,0.0,0.0,0.0,0.0,0.0
6495955267.0,2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0
6495487638.0,2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0
6495550904.0,2019-06-14,1.0,0.0,0.0,0.0,0.0,0.0
6495354335.0,2019-11-16,0.0,0.0,0.0,0.0,0.0,0.0
6495661193.0,2019-09-22,0.0,0.0,0.0,0.0,0.0,0.0
6495841487.0,2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0
6495907920.0,2020-10-28,0.0,0.0,0.0,0.0,1.0,1.0
6495928753.0,2020-12-12,0.0,0.0,0.0,0.0,0.0,1.0
6495342363.0,2020-10-31,0.0,0.0,0.0,1.0,0.0,0.0
6495424999.0,2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0
6495709930.0,2019-12-15,0.0,0.0,0.0,0.0,0.0,0.0
6495997978.0,2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0
6495798414.0,2020-06-06,0.0,0.0,0.0,0.0,0.0,0.0
6495904543.0,2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0
6495719154.0,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
6495395745.0,2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0
6495324215.0,2019-09-13,0.0,0.0,0.0,0.0,0.0,0.0
6495903953.0,2020-11-04,0.0,0.0,0.0,0.0,0.0,1.0
6495898259.0,2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0
6495641688.0,2019-09-22,1.0,0.0,0.0,0.0,0.0,0.0
6495885793.0,2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0
6495503784.0,2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0
6495776594.0,2020-04-29,0.0,0.0,0.0,0.0,0.0,1.0
6495710568.0,2019-12-15,0.0,0.0,0.0,0.0,0.0,0.0
6495817373.0,2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0
6495472806.0,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
6495801197.0,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0
6495979106.0,2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0
6495832833.0,2020-07-04,0.0,0.0,0.0,0.0,1.0,0.0
6495794297.0,2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0
6495552040.0,2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0
6496017925.0,2021-05-30,0.0,0.0,0.0,0.0,0.0,1.0
6495794998.0,2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0
6496002043.0,2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0
6495838383.0,2020-08-13,0.0,0.0,0.0,0.0,0.0,0.0
6495512072.0,2019-05-08,0.0,0.0,0.0,1.0,0.0,0.0
6495810023.0,2020-06-20,1.0,0.0,0.0,0.0,0.0,0.0
6495981865.0,2021-04-14,0.0,0.0,1.0,0.0,0.0,0.0
6496009546.0,2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0
6495727725.0,2020-02-11,0.0,1.0,0.0,0.0,0.0,0.0
6495964502.0,2021-03-01,0.0,0.0,0.0,0.0,0.0,1.0
6495770398.0,2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0
6495977008.0,2021-03-21,0.0,0.0,0.0,0.0,0.0,1.0
6495755341.0,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
6495327906.0,2019-09-25,0.0,0.0,0.0,0.0,0.0,0.0
6495492802.0,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0
6495537602.0,2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0
6495723644.0,2019-12-28,0.0,0.0,0.0,0.0,0.0,0.0
6495855957.0,2020-08-26,0.0,0.0,1.0,1.0,0.0,0.0
6495546358.0,2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0
6495912950.0,2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0
6495878421.0,2020-10-02,0.0,0.0,0.0,0.0,0.0,1.0
6495599622.0,2020-08-16,0.0,0.0,0.0,0.0,0.0,0.0
6495732218.0,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0
6495441072.0,2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0
6495551924.0,2019-06-16,1.0,0.0,0.0,0.0,0.0,0.0
6495910810.0,2020-11-11,1.0,0.0,0.0,0.0,0.0,0.0
6495723747.0,2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0
6495619261.0,2019-08-05,0.0,0.0,0.0,0.0,0.0,0.0
6495930926.0,2021-01-05,0.0,0.0,0.0,0.0,0.0,1.0
6495693074.0,2019-11-24,0.0,0.0,0.0,0.0,0.0,0.0
6495884845.0,2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0
6495821466.0,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0
6495787264.0,2020-05-14,1.0,0.0,0.0,0.0,0.0,0.0
6495763721.0,2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0
6495938035.0,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0
6495739593.0,2020-03-04,1.0,0.0,0.0,0.0,0.0,0.0
6495976025.0,2021-03-27,0.0,0.0,0.0,0.0,0.0,1.0
6495509197.0,2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0
6495879769.0,2020-09-22,0.0,0.0,0.0,0.0,0.0,0.0
6495730637.0,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0
6495815494.0,2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0
6495904956.0,2020-11-08,0.0,0.0,0.0,0.0,1.0,0.0
6495368731.0,2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0
6495728472.0,2020-01-07,1.0,0.0,0.0,0.0,0.0,0.0
6495779730.0,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0
6496003243.0,2021-05-29,0.0,0.0,0.0,0.0,0.0,1.0
6495792776.0,2020-06-10,0.0,0.0,0.0,0.0,0.0,1.0
6495989597.0,2021-05-08,1.0,0.0,0.0,0.0,0.0,0.0
6495671717.0,2019-10-01,0.0,0.0,0.0,0.0,0.0,1.0
6495763801.0,2021-03-30,0.0,1.0,0.0,0.0,0.0,0.0
6495485783.0,2021-04-10,0.0,0.0,0.0,0.0,0.0,0.0
6495845037.0,2020-07-31,0.0,0.0,0.0,0.0,1.0,0.0
6495824182.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0
6495711751.0,2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0
6495801129.0,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0
6495501036.0,2019-04-27,0.0,0.0,0.0,0.0,0.0,0.0
6495947249.0,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0
6495691427.0,2019-11-17,0.0,0.0,0.0,0.0,0.0,1.0
6495928711.0,2021-01-16,0.0,0.0,0.0,1.0,0.0,0.0
6495882476.0,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0
6495726818.0,2020-01-20,1.0,0.0,0.0,0.0,0.0,0.0
6495383060.0,2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0
6495614765.0,2019-08-31,0.0,0.0,0.0,0.0,0.0,0.0
6495778642.0,2020-04-30,1.0,0.0,0.0,0.0,0.0,0.0
6495886973.0,2020-10-11,1.0,1.0,0.0,0.0,0.0,0.0
6495927710.0,2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0
6495860452.0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
6495860266.0,2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0
6495693735.0,2020-11-21,0.0,0.0,0.0,0.0,0.0,0.0
6496004531.0,2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0
6496012117.0,2021-05-25,1.0,0.0,0.0,0.0,0.0,0.0
6495766990.0,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0
6495917351.0,2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0
6495728128.0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
6495378693.0,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0
6495803994.0,2020-06-24,0.0,0.0,0.0,0.0,0.0,0.0
6495860491.0,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0
6495764010.0,2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0
6495786209.0,2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0
6495814186.0,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
6495991710.0,2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0
6495715301.0,2020-12-07,0.0,0.0,0.0,0.0,0.0,1.0
6495825816.0,2020-07-21,0.0,0.0,0.0,0.0,0.0,0.0
6495534726.0,2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0
6495461986.0,2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0
6495622395.0,2019-08-03,0.0,0.0,0.0,0.0,0.0,0.0
6495382417.0,2018-12-25,1.0,0.0,0.0,1.0,0.0,0.0
6495459052.0,2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6495999556.0,2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0
6495583027.0,2019-07-02,0.0,0.0,0.0,0.0,0.0,0.0
6495607768.0,2019-08-05,1.0,0.0,0.0,0.0,0.0,0.0
6495611631.0,2019-08-05,0.0,0.0,0.0,0.0,0.0,0.0
6495697154.0,2019-11-03,1.0,1.0,0.0,0.0,0.0,0.0
6495678873.0,2019-10-22,0.0,0.0,0.0,0.0,0.0,0.0
6495780310.0,2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0
6495984564.0,2021-04-18,1.0,0.0,0.0,0.0,1.0,0.0
6495883484.0,2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0
6495477479.0,2021-04-08,1.0,1.0,0.0,0.0,0.0,0.0
6495761456.0,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
6495946670.0,2021-02-23,0.0,0.0,0.0,0.0,1.0,1.0
6495408733.0,2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0
6495930696.0,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0
6495673192.0,2019-10-28,0.0,0.0,0.0,0.0,0.0,0.0
6495696688.0,2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0
6495570487.0,2019-06-28,0.0,0.0,0.0,0.0,0.0,0.0
6495584455.0,2019-07-02,0.0,0.0,0.0,0.0,0.0,0.0
6495512097.0,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
6495684911.0,2020-11-01,1.0,0.0,0.0,0.0,0.0,0.0
6495741471.0,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0
6495476407.0,2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0
6495690238.0,2019-11-08,0.0,0.0,0.0,0.0,0.0,0.0
6495492594.0,2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0
6495513907.0,2021-05-31,0.0,0.0,0.0,0.0,0.0,1.0
6496019917.0,2021-06-07,0.0,0.0,0.0,0.0,0.0,1.0
6495890889.0,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0
6495970738.0,2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0
6495572355.0,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
6495771878.0,2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0
6495938031.0,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0
6495862555.0,2020-09-02,0.0,0.0,0.0,0.0,0.0,0.0
6495689704.0,2019-11-20,0.0,0.0,0.0,0.0,0.0,0.0
6495361846.0,2018-12-02,0.0,0.0,0.0,0.0,0.0,0.0
6495763538.0,2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0
6495809144.0,2020-05-31,1.0,0.0,0.0,0.0,0.0,0.0
6495842195.0,2020-07-26,0.0,1.0,0.0,0.0,0.0,0.0
6495551090.0,2019-06-17,0.0,0.0,0.0,0.0,0.0,0.0
6495602368.0,2019-08-05,0.0,0.0,0.0,0.0,0.0,0.0
6495710235.0,2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0
6495919556.0,2020-12-20,0.0,0.0,0.0,0.0,0.0,1.0
6495448620.0,2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0
6495849077.0,2020-08-02,1.0,0.0,0.0,0.0,0.0,0.0
6495640247.0,2020-09-09,0.0,0.0,0.0,0.0,0.0,0.0
6495508677.0,2019-05-11,1.0,0.0,0.0,0.0,0.0,0.0
6495849880.0,2020-08-11,0.0,0.0,0.0,0.0,0.0,0.0
6495466588.0,2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0
6495729747.0,2020-02-02,0.0,0.0,0.0,0.0,0.0,1.0
6495848272.0,2020-08-02,0.0,0.0,0.0,0.0,0.0,0.0
6495404389.0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
6495849115.0,2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0
6495382242.0,2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0
6495380177.0,2018-12-15,0.0,0.0,0.0,0.0,0.0,0.0
6495750875.0,2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0
6495710314.0,2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0
6496018847.0,2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0
6495511026.0,2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0
6495751321.0,2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0
6495982886.0,2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0
6495756127.0,2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0
6495941640.0,2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0
6496014444.0,2021-05-30,1.0,0.0,0.0,0.0,0.0,0.0
6495748983.0,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0
6495949900.0,2021-02-03,0.0,0.0,0.0,0.0,1.0,0.0
6495852231.0,2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0
6495720161.0,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
6495842637.0,2020-08-08,0.0,0.0,0.0,0.0,0.0,0.0
6495823115.0,2020-06-16,0.0,0.0,0.0,0.0,0.0,0.0
6495388578.0,2019-12-30,0.0,0.0,0.0,0.0,0.0,0.0
6495583120.0,2019-07-24,0.0,0.0,1.0,0.0,0.0,0.0
6496000453.0,2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0
6495944845.0,2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0
6495890595.0,2020-10-03,1.0,0.0,0.0,0.0,0.0,0.0
6495369702.0,2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0
6495486677.0,2019-04-03,0.0,0.0,0.0,0.0,0.0,1.0
6495714174.0,2019-12-24,0.0,0.0,0.0,0.0,0.0,0.0
6495458171.0,2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0
6496008357.0,2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0
6495792498.0,2020-05-14,1.0,0.0,0.0,0.0,0.0,0.0
6495771843.0,2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0
6495874167.0,2020-09-15,0.0,0.0,0.0,0.0,0.0,0.0
6495471822.0,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0
6496005990.0,2021-05-11,0.0,1.0,0.0,0.0,0.0,0.0
6495737909.0,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0
6495711509.0,2019-12-11,0.0,0.0,0.0,0.0,0.0,0.0
6495492543.0,2019-04-10,0.0,0.0,0.0,0.0,1.0,0.0
6495397113.0,2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0
6495655764.0,2019-09-22,0.0,0.0,0.0,0.0,0.0,0.0
6495623314.0,2020-08-21,1.0,0.0,0.0,0.0,0.0,0.0
6495770030.0,2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0
6495966531.0,2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0
6495680464.0,2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0
6495683799.0,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0
6495508067.0,2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0
6495861023.0,2020-09-06,0.0,0.0,0.0,0.0,0.0,0.0
6495631029.0,2019-09-12,0.0,0.0,0.0,0.0,0.0,0.0
6495922583.0,2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0
6495485273.0,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0
6495519511.0,2019-05-02,0.0,0.0,0.0,0.0,0.0,0.0
6495560917.0,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
6495507468.0,2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0
6495715769.0,2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0
6495784419.0,2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0
6495399280.0,2019-12-25,0.0,0.0,0.0,0.0,0.0,0.0
6495979110.0,2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0
6495806768.0,2020-06-20,1.0,0.0,0.0,0.0,0.0,0.0
6495775711.0,2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0
6495464145.0,2021-04-07,1.0,0.0,0.0,0.0,1.0,0.0
6495559501.0,2019-07-02,0.0,0.0,0.0,0.0,0.0,0.0
6495505045.0,2020-04-24,0.0,1.0,0.0,0.0,0.0,0.0
6495698331.0,2019-12-05,0.0,0.0,0.0,0.0,0.0,0.0
6495515640.0,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
6495705289.0,2019-11-21,1.0,0.0,0.0,0.0,0.0,0.0
6495592918.0,2019-07-25,1.0,0.0,0.0,0.0,0.0,0.0
6495915790.0,2020-11-26,0.0,0.0,0.0,0.0,0.0,1.0
6495876475.0,2020-09-03,0.0,0.0,0.0,0.0,0.0,0.0
6495698890.0,2019-11-26,0.0,0.0,0.0,0.0,0.0,0.0
6495888890.0,2020-10-03,1.0,0.0,0.0,0.0,0.0,0.0
6495965217.0,2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0
6495573991.0,2019-06-15,0.0,0.0,0.0,0.0,0.0,0.0
6495547448.0,2019-06-05,0.0,0.0,0.0,0.0,0.0,0.0
6495854137.0,2020-08-26,0.0,0.0,0.0,0.0,0.0,0.0
6495686642.0,2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0
6496010085.0,2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0
6495746760.0,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
6495389972.0,2018-12-28,0.0,0.0,0.0,0.0,0.0,0.0
6495483388.0,2019-04-08,0.0,0.0,1.0,0.0,0.0,0.0
6495978365.0,2021-03-26,0.0,0.0,0.0,0.0,1.0,0.0
6495974886.0,2021-03-17,0.0,0.0,0.0,0.0,1.0,0.0
6495537312.0,2019-05-15,1.0,0.0,0.0,0.0,0.0,0.0
6495609983.0,2019-08-10,0.0,0.0,0.0,0.0,0.0,0.0
6495723832.0,2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0
6495940891.0,2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0
6495470697.0,2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0
6495909713.0,2020-11-26,0.0,0.0,0.0,0.0,0.0,1.0
6495918647.0,2020-11-30,0.0,0.0,0.0,0.0,0.0,1.0
6495885969.0,2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0
6495602301.0,2019-08-04,1.0,0.0,0.0,0.0,0.0,0.0
6495449653.0,2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0
6495543460.0,2019-05-21,0.0,0.0,0.0,0.0,1.0,0.0
6495673273.0,2019-10-09,0.0,0.0,0.0,0.0,0.0,0.0
6495704858.0,2019-12-10,0.0,0.0,0.0,1.0,0.0,0.0
6495965808.0,2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0
6495380662.0,2019-12-22,0.0,0.0,0.0,0.0,0.0,1.0
6495730594.0,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
6495418109.0,2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0
6495534798.0,2019-06-06,0.0,0.0,0.0,0.0,0.0,0.0
6495879802.0,2020-09-16,1.0,0.0,0.0,0.0,0.0,0.0
6495980756.0,2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0
6495722389.0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
6495532784.0,2019-05-22,0.0,0.0,0.0,0.0,0.0,0.0
6495727680.0,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0
6495580060.0,2019-07-21,1.0,0.0,0.0,0.0,0.0,0.0
6495608056.0,2020-08-23,0.0,0.0,0.0,0.0,0.0,0.0
6495609057.0,2019-07-28,0.0,0.0,0.0,0.0,0.0,0.0
6495890295.0,2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0
6495995198.0,2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0
6495650871.0,2019-09-15,0.0,0.0,1.0,0.0,0.0,0.0
6495969181.0,2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0
6495976504.0,2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0
6495746440.0,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0
6495811658.0,2020-07-08,0.0,0.0,0.0,0.0,0.0,0.0
6495722685.0,2020-02-01,0.0,0.0,0.0,0.0,0.0,1.0
6495932944.0,2020-12-22,0.0,0.0,0.0,0.0,1.0,0.0
6495512462.0,2019-04-27,0.0,0.0,0.0,0.0,0.0,0.0
6495612686.0,2019-09-02,0.0,0.0,0.0,0.0,0.0,0.0
6495836515.0,2020-06-29,0.0,0.0,0.0,0.0,0.0,1.0
6495842650.0,2020-08-07,0.0,0.0,0.0,0.0,0.0,0.0
6495790274.0,2021-05-26,1.0,0.0,0.0,0.0,0.0,0.0
6495496342.0,2019-04-27,1.0,0.0,0.0,0.0,0.0,0.0
6495993675.0,2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0
6496013578.0,2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0
6495956779.0,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0
6495638371.0,2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0
6495670433.0,2019-10-15,1.0,1.0,0.0,0.0,0.0,1.0
6495872006.0,2020-08-29,0.0,0.0,0.0,0.0,1.0,0.0
6495520841.0,2019-05-02,1.0,0.0,0.0,0.0,0.0,0.0
6495629369.0,2019-08-17,0.0,0.0,0.0,0.0,0.0,0.0
6495533562.0,2019-06-16,1.0,0.0,0.0,0.0,0.0,0.0
6495882983.0,2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0
6495544473.0,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
6495950890.0,2021-02-28,1.0,0.0,0.0,0.0,0.0,0.0
6495869064.0,2020-09-08,1.0,0.0,0.0,0.0,0.0,0.0
6495353538.0,2019-10-21,0.0,0.0,0.0,0.0,0.0,0.0
6495607857.0,2019-08-02,0.0,0.0,0.0,0.0,0.0,0.0
6495756895.0,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0
6495473459.0,2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0
6495433112.0,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0
6495956801.0,2021-02-22,0.0,0.0,0.0,0.0,0.0,1.0
6495498216.0,2019-04-06,0.0,0.0,0.0,0.0,0.0,0.0
6495763546.0,2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0
6495844612.0,2020-08-08,0.0,0.0,0.0,0.0,1.0,0.0
6495907425.0,2020-11-10,0.0,1.0,0.0,0.0,0.0,0.0
